locID;name;countryEN;countryRU;lat_deg;lat_deg_sign;lat_min;lat_sec;lon_deg;lon_deg_sign;lon_min;lon_sec;property;buffer;siteID;latitude;longitude;countryCode
1364rev-006;Badr Ghulum House;Bahrain;Бахрейн;N26;26;14;44.59;E50;50;36;48.35;0.0424 ha;1.6527 ha;1364;26.2457194;50.6134306;bhr
1364rev-007;Al-Jalahma House;Bahrain;Бахрейн;N26;26;14;45.53;E50;50;36;49.14;0.0713 ha;;1364;26.2459806;50.61365;bhr
1364rev-008;Al-Alawi House;Bahrain;Бахрейн;N26;26;14;49.2;E50;50;36;47.81;0.0148 ha;;1364;26.247;50.6132806;bhr
1364rev-009;Fakhro House;Bahrain;Бахрейн;N26;26;14;51.9;E50;50;36;38.59;0.204 ha;1.8652 ha;1364;26.24775;50.6107194;bhr
1364rev-010;Murad House;Bahrain;Бахрейн;N26;26;14;58.63;E50;50;36;49;0.0967 ha;0.6952 ha;1364;26.2496194;50.6136111;bhr
1364rev-011;Murad Majlis;Bahrain;Бахрейн;N26;26;14;57.7;E50;50;36;49;0.021 ha;;1364;26.2493611;50.6136111;bhr
1364rev-012;Siyadi Shops;Bahrain;Бахрейн;N26;26;14;59.78;E50;50;36;36.22;0.0564 ha;1.6709 ha;1364;26.2499389;50.6100611;bhr
1364rev-013a;Amārat Yousif A.‘Fakhro;Bahrain;Бахрейн;N26;26;14;59.89;E50;50;36;33.16;0.213 ha;;1364;26.2499694;50.6092111;bhr
1364rev-013b;‘Amārat Ali Rashed Fakhro (I);Bahrain;Бахрейн;N26;26;15;0.61;E50;50;36;34.38;0.078 ha;;1364;26.2501694;50.60955;bhr
1364rev-013c;‘Amārat Ali Rashed Fakhro (II);Bahrain;Бахрейн;N26;26;15;1.22;E50;50;36;33.91;0.0427 ha;;1364;26.2503389;50.6094194;bhr
1364rev-014;Nūkhidhah House;Bahrain;Бахрейн;N26;26;15;16.49;E50;50;36;39.42;0.0056 ha;0.2766 ha;1364;26.2545806;50.61095;bhr
1364rev-015a;Siyadi House;Bahrain;Бахрейн;N26;26;15;19.33;E50;50;36;46.4;0.0336 ha;1.1306 ha;1364;26.2553694;50.6128889;bhr
1364rev-015b;Siyadi Majlis;Bahrain;Бахрейн;N26;26;15;19.3;E50;50;36;45.4;0.0739 ha;;1364;26.2553611;50.6126111;bhr
1364rev-015c;Siyadi Mosque;Bahrain;Бахрейн;N26;26;15;18.61;E50;50;36;45.07;0.0396 ha;;1364;26.2551694;50.6125194;bhr
1542-001;Madinat Hamad 1 Burial Mound Field (Buri);Bahrain;Бахрейн;N26;26;8;24.99;E50;50;30;11;12.19 ha;191.88 ha;1542;26.140275;50.5030556;bhr
1542-002;A’ali East Burial Mound Field;Bahrain;Бахрейн;N26;26;8;58.98;E50;50;30;46;59.38 ha;;1542;26.1497167;50.5127778;bhr
1542-003;A’ali West Burial Mound Field;Bahrain;Бахрейн;N26;26;8;45.98;E50;50;30;28;22.14 ha;;1542;26.1461056;50.5077778;bhr
1542-004;Royal Mound 1;Bahrain;Бахрейн;N26;26;9;33.99;E50;50;30;50;0.12 ha;;1542;26.1594417;50.5138889;bhr
1542-005;Royal Mound 2;Bahrain;Бахрейн;N26;26;9;35.98;E50;50;30;54;0.13 ha;;1542;26.1599944;50.515;bhr
1542-006;Royal Mound 3;Bahrain;Бахрейн;N26;26;9;32;E50;50;30;51;0.04 ha;;1542;26.1588889;50.5141667;bhr
1542-007;Royal Mound 4;Bahrain;Бахрейн;N26;26;9;33;E50;50;30;52.98;0.11 ha;;1542;26.1591667;50.5147167;bhr
1542-008;Royal Mound 5;Bahrain;Бахрейн;N26;26;9;29.99;E50;50;30;51.99;0.16 ha;;1542;26.1583306;50.5144417;bhr
1542-009;Royal Mound 6;Bahrain;Бахрейн;N26;26;9;30.98;E50;50;30;55;0.13 ha;;1542;26.1586056;50.5152778;bhr
1542-010;Royal Mound 7;Bahrain;Бахрейн;N26;26;9;37;E50;50;30;57.98;0.06 ha;;1542;26.1602778;50.5161056;bhr
1542-011;Royal Mound 8;Bahrain;Бахрейн;N26;26;9;38;E50;50;31;1;0.12 ha;;1542;26.1605556;50.5169444;bhr
1542-012;Royal Mound 9;Bahrain;Бахрейн;N26;26;9;32;E50;50;31;0;0.08 ha;;1542;26.1588889;50.5166667;bhr
1542-013;Royal Mound 10;Bahrain;Бахрейн;N26;26;9;35.98;E50;50;31;5;0.12 ha;;1542;26.1599944;50.5180556;bhr
1542-014;Pair of Royal Mounds 11 and 12;Bahrain;Бахрейн;N26;26;9;27.1;E50;50;30;52.49;0.1 ha;;1542;26.1575278;50.5145806;bhr
1542-015;Pair of Royal Mound 13 and 14;Bahrain;Бахрейн;N26;26;9;27.38;E50;50;30;53.88;0.15 ha;;1542;26.1576056;50.5149667;bhr
1542-016;Royal Mound 15;Bahrain;Бахрейн;N26;26;9;24;E50;50;30;52.98;0.05 ha;;1542;26.1566667;50.5147167;bhr
1542-017;Royal Mound 16;Bahrain;Бахрейн;N26;26;9;23;E50;50;30;52.98;0.04 ha;;1542;26.1563889;50.5147167;bhr
1542-018;Royal Mound 17;Bahrain;Бахрейн;N26;26;9;27.88;E50;50;31;7.6;0.07 ha;;1542;26.1577444;50.5187778;bhr
1542-019;Madinat Hamad 2 Burial Mound Field (Karzakkan);Bahrain;Бахрейн;N26;26;7;15.99;E50;50;29;56.99;51.7 ha;95.75 ha;1542;26.1211083;50.4991639;bhr
1542-020;Madinat Hamad 3 Burial Mound Field (Dar Kulayb);Bahrain;Бахрейн;N26;26;4;30;E50;50;30;20;19.62 ha;67.15 ha;1542;26.075;50.5055556;bhr
1542-021;Janabiyah;Bahrain;Бахрейн;N26;26;10;49;E50;50;28;24;1.94 ha;29.08 ha;1542;26.1802778;50.4733333;bhr
798-001;Sundarbans West Wildlife Sanctuary;Bangladesh;Бангладеш;N21;21;46;33.028;E89;89;13;55.042;71,500 ha;;798;21.7758411;89.2319561;bgd
